Name,Maths,English,PE,Art,History,IT,Biology,German
Christopher,16,27,81,67,99,48,37,36
Carol,80,69,81,23,68,75,96,95
Wayne,77,46,29,32,86,51,100,76
Robert,40,46,91,93,43,56,34,48
Rebecca,46,98,63,7,38,92,58,94
Mark,71,54,63,4,91,40,57,97
Ryan,3,49,56,49,84,87,23,84
Michael,96,66,99,97,75,52,0,61
Joe,37,25,51,72,41,100,13,40
Jill,70,16,62,38,23,88,3,13
Timothy,68,55,60,20,40,5,56,94
Robert,81,0,38,88,53,72,68,5
John,45,99,61,88,99,27,95,43
Kathleen,33,31,40,86,32,27,20,30
Jason,96,64,22,6,96,18,19,68
Willie,71,82,53,65,16,41,78,30
Timothy,84,26,23,93,37,99,69,100
Rodney,89,31,77,72,7,98,59,50
Elizabeth,81,80,46,44,41,41,65,36
Cole,95,18,35,47,62,98,3,28
Angela,11,53,56,1,98,25,70,74
Robert,88,29,70,10,61,67,70,97
Nicole,45,33,54,84,34,93,12,99
Mike,66,63,18,59,66,67,96,54
Felicia,67,42,44,91,11,18,84,15
Victoria,75,8,9,30,22,58,23,47
Deanna,12,7,32,50,40,37,39,29
Laura,52,53,62,28,100,39,46,85
Kimberly,68,53,72,47,17,50,80,22
Bailey,24,79,50,24,30,69,62,45
Francisco,25,55,33,51,99,84,70,2
Keith,30,19,20,83,20,44,61,96
Shelley,85,19,45,82,47,15,36,86
Wesley,50,56,49,1,50,20,30,89
Christine,69,50,70,82,23,3,79,89
Stephen,91,66,52,87,75,11,44,86
Michael,52,8,8,41,18,97,41,72
Kathleen,19,85,6,85,13,39,67,53
Linda,100,53,45,85,0,20,90,6
Jay,18,65,95,25,32,86,40,53
Jose,39,76,88,3,86,75,47,82
Thomas,78,61,100,19,4,56,47,40
David,34,74,52,46,42,83,21,38
Todd,49,60,65,53,54,99,71,97
Michael,36,59,35,15,43,9,97,33
John,99,26,77,79,99,21,6,31
Richard,76,97,12,4,86,51,51,38
Kaitlyn,28,2,76,40,47,30,26,69
Destiny,21,71,91,37,63,100,3,61
Robert,69,61,57,62,29,14,30,16
Nicole,38,95,38,37,81,48,23,42
Joshua,55,81,47,94,80,80,69,27
Vickie,49,36,83,99,12,63,9,14
Patrick,65,83,40,56,93,6,87,30
David,88,19,36,91,74,55,77,70
Robert,14,35,76,79,81,60,32,95
Carolyn,64,26,16,24,2,76,81,91
Joan,46,76,95,54,33,66,42,14
Mark,3,24,58,62,25,36,52,48
Henry,20,98,54,19,45,92,5,84
Stacy,23,50,71,60,51,80,41,45
Lori,40,76,6,68,39,34,47,45
Jennifer,58,45,49,40,42,55,96,26
Brian,67,9,11,2,14,51,56,72
Jacqueline,66,41,50,55,35,53,52,23
Victor,45,17,82,44,10,67,28,4
Zachary,11,56,42,24,5,28,41,59
William,59,70,64,88,46,39,63,51
Rita,59,66,35,14,93,97,81,69
Desiree,35,6,95,25,85,93,67,17
Tammy,65,100,17,69,28,58,23,61
Kathy,47,21,25,62,34,74,83,24
Sean,40,78,87,45,1,41,9,51
Donna,13,75,30,12,26,58,27,47
Emily,49,55,68,58,94,92,39,51
Daniel,96,18,92,99,96,75,30,12
David,50,87,49,3,45,92,43,10
Jessica,47,7,94,72,16,0,65,18
Emily,0,18,39,81,9,66,37,16
Anthony,91,58,21,5,2,62,24,39
Bonnie,75,97,92,64,56,10,77,47
Keith,3,28,53,52,20,22,88,54
Steven,22,41,72,40,56,34,91,49
Lisa,93,27,94,3,5,45,13,55
Carol,74,81,18,28,95,83,56,31
Ryan,63,49,40,42,39,73,82,21
Ariana,38,27,23,38,34,37,20,28
Alexandra,94,93,95,41,52,80,8,86
Daniel,14,51,5,68,27,4,100,76
Edwin,86,52,92,48,97,58,68,92
Ann,59,4,38,58,29,50,87,28
Allen,21,17,61,17,24,57,20,20
Kathleen,53,25,54,7,96,5,12,9
Patrick,22,48,30,33,20,15,100,93
Claudia,64,86,22,22,94,19,87,82
Andrea,36,68,75,75,84,55,2,26
Julie,20,4,57,64,80,45,54,35
Thomas,2,31,71,54,46,33,58,67
Kyle,4,46,49,75,21,28,38,28
Ryan,78,93,67,33,26,63,99,74
Edwin,24,10,10,11,50,60,93,50
Lucas,45,69,1,13,57,55,44,83
Haley,37,73,34,53,78,6,9,4
Cynthia,59,53,63,54,58,49,48,60
Seth,16,67,18,35,7,53,76,51
Gary,95,0,65,63,54,96,3,27
Wesley,56,55,56,89,44,54,41,65
Andrew,37,70,74,94,37,7,44,12
Mario,75,35,97,49,40,12,98,25
Renee,71,100,23,25,96,36,9,14
Kevin,90,18,9,60,88,51,28,85
Rebecca,10,36,60,43,2,77,93,0
Susan,27,91,24,100,66,22,68,40
Debra,81,26,10,3,97,72,98,66
James,84,51,43,61,79,30,65,38
Alice,58,41,11,60,88,96,57,84
Charles,41,16,94,9,60,87,3,32
Ann,71,77,74,78,97,10,27,95
Christine,64,19,24,68,56,28,0,28
Bob,60,27,90,71,65,94,49,10
Eric,78,42,21,26,59,47,23,93
Ashley,82,55,90,76,90,64,100,94
Michael,76,95,68,52,23,83,59,49
Suzanne,4,44,89,74,1,12,17,68
Megan,65,90,83,96,13,64,8,87
Mark,40,11,7,28,82,76,8,50
Eric,79,15,28,93,70,84,65,73
Taylor,1,26,48,91,100,59,60,27
Brian,1,4,92,30,38,88,85,42
Daniel,51,21,23,36,20,57,35,47
Jessica,55,36,5,64,71,97,32,28
Sarah,16,96,20,7,43,21,13,66
Brooke,26,13,23,91,1,5,69,3
William,39,47,27,8,86,37,61,7
Kristina,90,61,49,87,30,60,89,35
Juan,74,12,30,86,87,82,54,5
Brian,79,100,57,43,31,92,44,97
Corey,97,34,49,0,37,0,32,86
Christopher,11,12,62,15,52,8,27,30
Timothy,91,78,43,21,41,26,22,61
Joseph,28,56,93,16,70,90,94,21
Curtis,28,62,92,19,31,81,23,69
Shawn,58,93,48,31,64,53,60,70
Glenn,58,19,35,98,72,56,50,38
Mario,94,92,69,86,40,50,55,31
Andrea,10,100,84,55,18,72,37,79
Julia,13,22,12,9,15,72,75,54
Amy,40,51,80,31,49,76,48,3
Sarah,62,8,11,6,60,57,73,82
Vanessa,26,88,37,55,16,3,79,35
Bailey,15,0,64,38,5,45,1,99
Adam,79,14,99,86,92,69,98,28
Julia,79,27,41,21,99,3,54,67
Angelica,83,17,57,49,67,65,57,93
Karen,35,53,83,74,57,51,18,34
Michele,40,2,73,35,13,58,17,39
Barbara,24,4,6,31,38,86,90,81
Jodi,77,62,93,21,22,86,31,91
Jason,39,67,80,37,39,53,71,25
Emily,50,31,82,64,100,34,73,66
Carmen,12,56,47,59,3,75,69,54
Laura,66,13,31,65,88,92,18,5
David,8,86,63,57,96,10,48,41
Robert,9,87,79,84,61,46,28,7
Todd,1,61,55,25,25,1,99,39
Kevin,81,60,25,24,8,88,5,43
William,10,68,90,92,20,8,35,59
Kathryn,40,67,49,87,99,28,88,69
Richard,82,35,46,47,23,57,98,15
Kim,22,30,25,83,24,17,26,86
Patrick,70,77,66,55,7,50,34,54
Kevin,87,96,74,90,91,33,32,90
James,37,93,73,51,7,59,42,61
Cynthia,15,38,68,72,96,94,73,3
Russell,85,46,68,44,40,100,11,22
Elizabeth,49,55,48,31,75,45,52,62
Ernest,40,76,1,79,17,21,55,36
John,72,13,4,68,38,1,36,80
